uid;fb_id;f_id;kb_id;ha_id;k_id;code;aufbau;zyklus;aufzaehlungspunkt;strukturtyp;sprache;bezeichnung
101kbeFpDznYevNcdDfwqhdEa3UYvMmmK;1;11;5;;;D.5;;;;Kompetenzbereich;DE;Sprache(n) im Fokus
101kbcM8Td6Es2TkSuuenVZEWvfhMDtgY;1;21;5;;;FS1E.5;;;;Kompetenzbereich;DE;Sprache(n) im Fokus
101kbGC2P5bkfcFvqNUMmcxwA2MadtmsJ;1;32;2;;;FS2F.2;;;;Kompetenzbereich;DE;Lesen
101kbngFy6AR3vLYw9bq9MHtkzNYs5Vqf;1;41;6;;;FS3I.6;;;;Kompetenzbereich;DE;Kulturen im Fokus
101kbh7cD49r7LJ2b66dYh4pUux75JJMv;1;45;6;;;LAT.6;;;;Kompetenzbereich;DE;Kulturen im Fokus
101ha2ctNKNb4d5kTPaFd2zftYqdbBdhD;1;11;2;3;;D.2.C;;;;Handlungs-/Themenaspekt;DE;Verstehen literarischer Texte
101haUXNrgKPgJ6ZwRdcNdAvuev4rufVz;1;11;3;1;;D.3.A;;;;Handlungs-/Themenaspekt;DE;Grundfertigkeiten
101haYxXyX9cYcRZkncDhzfF3MZB2HUhs;1;11;4;7;;D.4.G;;;;Handlungs-/Themenaspekt;DE;Reflexion über den Schreibprozess und eigene Schreibprodukte
101haKRbVm3aLLCZm3Y8VeCPuTZUw32s4;1;11;5;1;;D.5.A;;;;Handlungs-/Themenaspekt;DE;Verfahren und Proben
101haKyAcLDskbHEBghkmGqvYtuMxtUkJ;1;11;5;4;;D.5.D;;;;Handlungs-/Themenaspekt;DE;Grammatikbegriffe
101hakDeCfxRKmGJ9ZrrXwVyeFYWyaZL2;1;11;6;3;;D.6.C;;;;Handlungs-/Themenaspekt;DE;Literarische Texte: Beschaffenheit und Wirkung
101haHWMFg7nPKFd43kpzqM3hzNu2TRgG;1;21;1;1;;FS1E.1.A;;;;Handlungs-/Themenaspekt;DE;Monologische und dialogische Texte hören und verstehen
